Gene,model,4s-01,4s-02,4s-03,4s-04,4s-05,4s-06,4s-07,4s-08,4s-09,4s-10,4s-11,4s-12,4s-13,4s-14,4s-15,4s-16,4s-17,4s-18,4s-19,4s-21,4s-22,4s-23,4s-24,4s-25,4s-26,4s-27,4s-28,4s-29,4s-30,4s-31,4s-32,4s-33,4s-34,4s-35,4s-36,4s-38,4s-39,4s-40,4s-41,4s-43,4s-44,4s-45,4s-46,4s-47,4s-48,4s-49,4s-50,4s-51,4s-52,4s-53,4s-54,4s-55,4s-56,4s-57,4s-58,4s-59,4s-60,4w-01,4w-02,4w-03,4w-04,4w-05,4w-06,4w-07,4w-08,4w-09,4w-10,4w-11,4w-12,4w-13,4w-14,4w-15,4w-16,4w-17,4w-18,4w-19,4w-21,4w-22,4w-23,4w-24,4w-25,4w-26,4w-27,4w-28,4w-29,4w-30,4w-31,4w-32,4w-33,4w-34,4w-35,4w-36,4w-38,4w-39,4w-40,4w-41,4w-43,4w-44,4w-45,4w-46,4w-47,4w-48,4w-49,4w-50,4w-51,4w-52,4w-53,4w-54,4w-55,4w-56,4w-57,4w-58,4w-59,4w-60,9s-01,9s-02,9s-03,9s-04,9s-05,9s-06,9s-07,9s-08,9s-09,9s-10,9s-11,9s-12,9s-13,9s-14,9s-15,9s-16,9s-17,9s-18,9s-19,9s-21,9s-22,9s-23,9s-24,9s-25,9s-26,9s-27,9s-28,9s-29,9s-30,9s-31,9s-32,9s-33,9s-34,9s-35,9s-36,9s-38,9s-39,9s-40,9s-41,9s-43,9s-44,9s-45,9s-46,9s-47,9s-48,9s-49,9s-50,9s-51,9s-52,9s-53,9s-54,9s-55,9s-56,9s-57,9s-58,9s-59,9s-60,9w-01,9w-02,9w-03,9w-04,9w-05,9w-06,9w-07,9w-08,9w-09,9w-10,9w-11,9w-12,9w-13,9w-14,9w-15,9w-16,9w-17,9w-18,9w-19,9w-21,9w-22,9w-23,9w-24,9w-25,9w-26,9w-27,9w-28,9w-29,9w-30,9w-31,9w-32,9w-33,9w-34,9w-35,9w-36,9w-38,9w-39,9w-40,9w-41,9w-43,9w-44,9w-45,9w-46,9w-47,9w-48,9w-49,9w-50,9w-51,9w-52,9w-53,9w-54,9w-55,9w-56,9w-57,9w-58,9w-59,9w-60
Grain Yield,,7.45,1.23,0,16.48,1.36,0,9.44,29.93,15.31,2.03,0,0,5.19,1.85,0,0,6.98,0,1.91,31.83,0,1.64,0.67,6.21,8.05,3.97,2.19,0,0,4.83,0,4.24,1.71,0,5.9,2.13,1.91,1.54,0,6.52,1.2,0,3.18,0,0.27,2.56,3.12,13.37,43.31,0,3.42,0,4.07,2.9,5.9,2.46,3.54,112.13,165.98,36.18,172.88,196.25,177.9,229.12,254.76,211.13,357.67,82.83,126.33,481.06,120.62,251.8,236.09,577.37,219.93,356.77,436.56,170.05,94.77,194.33,357.68,301.99,324.26,91.78,213.54,219.79,376.28,146.42,35.57,407.29,192.12,165.44,315.47,351.79,113.5,58.02,328.22,286.57,107.93,100.53,203.96,25.63,436.2,283.16,335.55,196.92,322.13,44.17,48.11,341.15,248.74,165.78,109.67,213.37,3.61,0.47,0,6.02,0,7.32,0,7.21,0,2.91,0,0,9.57,0,0.8,0,3.72,0,3.9,14.46,0.17,0,0,0.17,4.77,5.66,0,0.1,0,0.12,0,0,1.53,0,0,1.85,0,0,0,2.4,1.48,0,0,0.14,0,0.34,1.36,0,0,0,0,0.92,10.52,11.75,0,4.81,0,347.39,21.89,53.8,179.99,116.04,127.19,164.29,326.42,348.2,541.34,106.09,63.32,510.06,68.93,329.64,149.68,394.73,203.86,427.91,347.31,246.11,73.81,114.35,439.31,133.38,152.7,50.72,166.15,184.02,458,363.7,150.13,578.04,325.61,131.81,435.73,373.81,135.6,111.87,105.39,302.63,188.06,108.54,276.66,93.42,508.65,447.71,469.25,346.72,321.16,86.63,99.25,453.4,438.3,188.1,255.6,133.58
Days To Flowering,,97,103,NA,100,68,110,83,103,103,97,114,NA,103,68,110,71,97,NA,97,103,103,68,68,103,97,97,103,NA,110,97,NA,83,103,NA,68,100,NA,NA,95,97,103,103,103,114,NA,100,103,103,103,NA,68,NA,103,97,68,114,71,88,95,NA,91,71,103,83,99,95,88,103,103,100,68,91,71,91,NA,91,99,103,71,76,97,91,91,95,NA,91,91,NA,83,97,NA,71,91,103,103,83,91,103,NA,95,88,103,88,91,95,99,103,68,103,91,91,71,NA,76,97,103,124,103,68,110,71,100,97,97,110,114,103,68,100,68,95,114,91,97,103,68,68,97,91,91,97,110,83,97,114,71,97,NA,68,97,103,NA,71,97,103,NA,100,114,NA,97,100,97,97,NA,68,124,97,97,68,97,71,88,91,103,93,71,103,83,95,95,88,103,97,95,71,88,71,91,NA,91,99,NA,71,71,95,91,91,95,103,93,91,103,79,95,103,68,88,95,103,83,91,95,NA,95,88,103,88,91,95,97,103,68,103,91,88,68,103,75
Chlorophyll,,20.2,21,24.8,11.7,6.1,10.3,7.3,18.7,15.3,11.9,11.7,13.1,5.3,3.4,21.9,4.1,11.6,3.6,6.6,7.7,9.6,7.6,4.1,6.4,10.7,10.4,18.7,17.7,18.8,8.9,6.9,3,15.7,17.8,11.9,7.9,8.3,9.3,5.9,14.9,9.2,9.8,16.3,10.3,16.1,10.1,10.5,11,14.5,6.7,7.8,13.7,14.4,15.7,11.6,13.5,8.2,14.3,22,11.7,16.7,15,19.7,7.3,22,16.2,11.3,15.1,21.4,11.6,7.5,18.1,14.9,8.3,10.2,10.4,14.1,15.4,15.2,14.5,14.7,13.1,14.1,16.2,16,17.8,11.6,6.8,6.4,18.3,17.2,16.6,17.5,13.5,13.8,10.7,13.1,12.2,20.6,23.4,19,17.5,14.3,17.6,15.4,20.6,12.5,24.2,17.9,12.4,17.9,23.7,16.1,12,14.4,8.7,18.7,10.7,5.7,18.6,5.1,18.7,14.5,14.1,14.8,18.8,11.3,12.3,18.5,11.1,11.4,11.3,10.4,16.9,14.8,14.8,6.1,18.1,14.5,15.7,22.3,18.8,20.5,15.9,8.3,11.7,11.7,14.6,13.3,18.2,15.2,15.9,14.3,12.7,14.5,21.9,20.3,18,9.7,15.8,16.4,12.6,14.7,10.2,9.5,15.3,9.9,9.7,6.5,10.4,7.9,15.8,19.8,16.9,16,17.9,14,6.3,15,15.2,13.3,8.7,15.3,11.6,17.8,14.1,12.7,14.3,13.1,14.8,9.5,10.2,17.3,8.5,14.7,14,7.3,13.5,7.4,13.4,14.2,9.9,5.4,11.6,15.3,17.1,15.8,13.6,10.6,10.9,12.7,11.4,17.6,15.6,14.5,18,13.7,12.2,14.9,15,11.5,7.9,12.7,11.9,13.9,11.8,8,8.8
Water Use ,,20.68114,21.10139,22.15353,21.52199,21.52199,21.83766,21.52199,21.4168,20.89122,20.78617,21.62719,21.4168,20.78617,21.20651,20.78617,20.26124,20.15631,21.31164,20.78617,21.20651,21.94293,19.84168,20.47114,20.78617,20.89122,19.63203,20.36618,20.78617,20.68114,20.15631,20.89122,20.78617,20.78617,20.78617,20.36618,NA,20.15631,21.20651,20.99629,19.84168,20.68114,20.57613,19.73684,20.47114,20.99629,19.63203,20.68114,20.68114,21.10139,20.47114,20.15631,20.26124,21.4168,20.47114,20.15631,20.78617,21.31164,22.25886,20.99629,21.83766,22.04822,21.4168,22.15353,21.52199,21.94293,21.73241,22.15353,22.57499,21.83766,22.25886,21.73241,22.04822,21.52199,22.04822,22.68041,21.83766,22.36422,22.78585,21.62719,21.94293,21.94293,22.57499,22.57499,21.20651,22.57499,22.15353,22.89132,22.68041,22.57499,22.36422,22.57499,21.83766,22.15353,22.25886,21.62719,22.15353,22.25886,22.15353,22.15353,20.78617,22.36422,21.83766,22.04822,22.15353,21.83766,22.25886,22.57499,22.25886,22.15353,22.25886,21.73241,21.4168,22.25886,21.4168,21.10139,20.89122,21.62719,21.4168,21.10139,21.52199,21.4168,21.62719,21.10139,21.52199,21.94293,21.52199,21.73241,21.4168,21.10139,20.89122,21.10139,21.83766,20.68114,21.62719,22.04822,21.4168,21.10139,20.99629,21.10139,20.68114,20.47114,21.31164,20.99629,21.20651,21.62719,20.78617,21.73241,20.99629,20.36618,20.78617,21.52199,21.31164,21.10139,21.31164,20.78617,21.4168,20.68114,21.10139,21.62719,20.78617,21.73241,21.20651,21.73241,21.52199,21.10139,21.20651,21.31164,20.99629,20.89122,22.36422,21.4168,22.04822,20.78617,22.15353,22.15353,21.20651,22.25886,21.4168,22.25886,21.73241,22.36422,22.57499,21.62719,22.78585,21.31164,21.73241,20.99629,22.04822,22.68041,21.94293,22.36422,22.25886,21.31164,21.52199,21.62719,22.25886,22.15353,20.78617,22.46959,22.36422,22.15353,22.78585,21.62719,22.15353,22.25886,21.31164,22.04822,22.46959,21.62719,21.73241,22.25886,22.15353,22.36422,21.10139,22.15353,21.73241,22.15353,22.36422,21.62719,22.36422,22.68041,21.52199,22.46959,22.46959,21.94293,21.4168,22.68041,21.4168
N Content,,3.47,2.99,3.61,2.94,3.23,4.01,3.49,4.17,3.28,3.08,3.86,3.47,3.14,3.17,3.78,3.05,2.74,3.96,3.21,3.69,4.11,3.35,3.29,3.35,3.6,2.93,3.03,4.04,4.19,3.36,4.1,3.64,3.37,3.9,2.96,NA,3.82,3.32,3.46,2.96,3.62,3.87,3.04,4.09,3.13,3.79,3.41,3.42,4.37,4.06,2.9,3.5,3.26,3.71,2.93,4.18,3.3,2.97,3.33,3.16,3.65,2.74,3.3,3.71,3.17,3.14,2.79,3.42,3.23,2.77,3.87,3.58,2.97,3.32,3.44,3.06,3.33,4.08,3.21,3.51,3.69,3.71,3.22,3.03,4.02,3.67,3.71,3.42,3.73,2.67,4.2,2.66,3.56,3.17,3,3.76,3.18,3.25,3.56,2.96,3.75,3.18,2.51,2.43,3.08,2.88,2.24,2.54,3.47,2.34,3.1,2.93,3.44,3.56,3.59,2.54,3.53,2.87,3.28,4,3.44,3.88,3.51,3.56,3.54,3,3.33,2.92,4.17,3.28,2.64,3.67,2.66,3.91,3.86,3.04,2.91,3.37,3.15,3.54,2.86,3.63,4.04,3.33,3.98,3.58,3.31,3.66,2.79,3.34,3.58,2.84,3.55,3.42,3.58,3.81,3.1,3.61,3.12,3.21,3.36,3.69,3.9,4.11,2.87,3.83,3.33,3.46,3.19,3.97,3.22,2.8,2.58,2.67,2.77,2.59,3.46,3.36,3.29,2.83,2.38,3.6,2.62,2.55,2.76,2.8,2.62,2.3,2.78,3.05,2.88,3.58,2.81,3.15,3.06,2.69,2.54,2.31,2.89,2.89,2.43,3.05,3.25,2.74,2.98,2.66,2.61,2.34,2.87,3.44,2.5,2.51,3.11,2.43,3.05,2.83,2.58,2.29,2.7,2.93,2.83,2.91,2.78,2.54,3.34,2.03,2.85,2.91
Biomass,,7.055,1.6,2.755,3.21,2.195,3.225,1.855,5.165,6.135,6.03,2.56,2.37,3.735,1.705,3.89,3.195,7.2,4.56,5.635,5.66,2.895,2.03,2.02,7.58,5.76,8.165,5.565,2.845,3.28,6.105,1.31,0.84,5.035,2.345,3.71,5.795,4.745,2.225,2.92,6.615,3.95,4.66,2.315,1.505,2.405,NA,7.015,4.78,5.06,4.24,2.825,0.87,5.84,3.69,2.73,1.92,2.595,10.625,2.535,7.065,9.025,3.265,8.395,3.43,8.535,9.905,12.585,7.545,3.05,7.825,2.135,7.455,3.74,11.79,5.495,11.345,8.315,2.475,3.585,3.135,8.365,7.375,8.89,1.19,3.475,2.56,5.79,5.045,2.605,10.335,5.245,5.36,3.735,9.01,0.43,2.59,8.305,9.95,9.245,2.975,7.675,2.015,15.435,15.5,10.455,9.42,12.97,5.425,9.925,10.645,11.61,4.13,6.375,4.225,5.625,0.71,3.37,5.17,1.765,4.475,1.86,5.985,5.535,8.975,2.825,1.875,5.27,3.14,2.665,2.91,5.56,5.3,7.18,3.145,2.105,2.99,3.875,8.11,4.775,6.13,1.17,4.54,2.76,5.89,3.515,3.55,4.185,4.4,4.085,6.31,4.855,2.77,1.735,3.755,5.325,4.065,2.325,4.11,0.53,4.785,7.75,5.965,5.035,4.595,2.96,3.42,3.935,2.59,1.645,NA,3.815,8.69,2.175,6.54,6.165,3.43,2.73,3.115,7,11.74,5.235,4.465,3.88,9.24,2.665,3.005,2.39,9.39,4.865,5.925,5.57,2.71,1.275,2.12,5.255,2.885,4.035,0.71,1.355,1.44,2.685,6.01,2.235,8.61,6.45,4.095,9.585,6.965,1.585,3.165,7.72,7.135,5.23,2.725,6.435,3.39,9.82,7.34,7.86,6.385,7.035,3.12,5.045,5.92,6.12,7.23,4.115,1.99
Crown Root,,537.5,76,249.5,173,230,176,162.5,293.5,368,336,165.5,200.5,340,100.5,384.5,350.5,377.5,596,440.5,278.5,211.5,182,163,479.5,321.5,526.5,202.5,218,252.5,528.5,269,139,256.5,292,322,381,489,259.5,259.5,580.5,304,332,86.5,165.5,235,273,353.5,375,233.5,174,264.5,496,219.5,690.5,228,178,183,1225.5,88,438.5,525,249.5,235.5,343.5,489.5,585,782,525,268.5,870,173,559.5,483,771,573.5,457.5,535.5,124,368.5,408,603,452.5,478.5,50.5,105,227.5,277.5,629.5,406.5,667.5,442.5,394,532.5,750.5,63.5,405,484,777.5,709,129.5,649.5,140.5,922.5,619,705,528.5,481,512.5,493,520,996.5,244.5,309,340.5,512,38,196,379.5,159.5,277,217.5,294.5,400,255,141.5,211,511,245,271,164.5,315.5,249.5,282,172,132.5,185.5,180,171.5,282,330,64.5,175.5,243,525.5,306.5,268,147.5,223,259,403.5,405,169,193,255,415.5,312.5,40.5,248,120.5,298,364.5,308,245,335,195.5,118,222,227.5,124,62.5,323.5,578,116.5,674.5,398,274.5,254.5,449.5,402,725,499,320.5,320.5,798,285.5,559.5,231,720.5,807,482.5,476,319.5,301.5,210,420.5,325,327.5,77.5,147,452.5,398.5,612.5,372,428.5,557,390,961,1077.5,254,365,693,699.5,575.5,133,435,291.5,696.5,488.5,278,398,753.5,276.5,296.5,485.5,488.5,463,312,211.5
Transpiration Rate,,525,392.5,530,326.5,437,532.5,378.5,435,273,256,482.5,261.5,360,280.5,136,209,185.5,187,327.5,335,315.5,667.5,223.5,435,163,195,780,387.5,154,321.5,274,615,231.5,395,322.5,360,261,765,690,162,442.5,264,600,156,416,215.5,234,104.5,205.5,116,336.5,156.5,107.5,159.5,262,527.5,462.5,720,585,550,457.5,605,690,655,815,810,800,805,585,715,815,855,675,770,680,660,700,1045,745,540,445,570,800,745,625,715,725,930,760,735,800,615,730,587.5,525,500,540,575,695,480,560,615,385,447.5,530,477.5,585,545,655,405,472.5,457.5,482.5,465,465,685,820,152,351.5,412.5,532.5,432.5,682.5,440,454,505,465,565,495,229,284.5,345,402.5,535,276.5,507.5,304.5,380,251,145.5,181,402.5,315.5,185,187,136,127.5,337.5,267,215,239.5,430,234,162.5,320,233,322.5,217,407.5,487.5,159,301,286,204.5,285,311,291.5,284,287.5,254,402.5,420,505,550,427.5,495,645,637.5,515,472.5,540,680,555,500,517.5,635,412.5,497.5,785,550,460,665,585,478,375,NA,560,342.5,455,595,492.5,422.5,502.5,417.5,520,249,337.5,375,472.5,525,427.5,350.5,590,430,450,482.5,462.5,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
